idx	sample_id	random_ids	llm_text	llm_score	final_score
25	3573	['240', '925', '1005', '2350', '3600', '2675', '3181']	2	2.000000	2.000000
26	3574	['1280', '993', '2961', '2190', '2972', '1180', '2862']	4	4.000000	4.000000
27	3575	['2735', '2992', '3100', '2509', '696', '432', '2948']	2	2.000000	2.000000
28	3576	['1009', '1489', '1349', '3601', '313', '1040', '1305']	4	4.000000	4.000000
29	3577	['1072', '1513', '779', '2726', '3635', '3746', '3784']	2	2.000000	2.000000
30	2437	['1545', '634', '3598', '899', '3298', '1488', '3791']	5	5.000000	5.000000
31	2438	['2444', '1882', '144', '2227', '631', '3354', '3540']	4	4.000000	4.000000
32	2439	['3594', '3739', '1166', '1772', '3082', '1928', '3605']	5	5.000000	5.000000
33	2440	['2513', '195', '3238', '1842', '3536', '506', '1132']	2	2.000000	2.000000
34	2441	['685', '644', '1425', '554', '3147', '1385', '136']	5	5.000000	5.000000
35	2442	['2975', '2473', '3619', '1324', '2274', '11', '1346']	4	4.000000	4.000000
36	1561	['2177', '196', '1075', '2895', '3290', '714', '1602']	5	5.000000	5.000000
37	1562	['1308', '2655', '3261', '1185', '3757', '767', '3594']	2	2.000000	2.000000
38	1563	['631', '1779', '2299', '480', '2141', '1591', '3247']	5	5.000000	5.000000
39	1564	['503', '2612', '2083', '1333', '906', '1724', '1338']	2	2.000000	2.000000
40	1565	['40', '1010', '2895', '62', '3785', '3302', '3504']	5	5.000000	5.000000
41	1566	['1591', '645', '3241', '1305', '2770', '87', '1009']	2	2.000000	2.000000
42	433	['2990', '36', '3217', '2368', '280', '1863', '1587']	3	3.000000	3.000000
43	434	['1282', '1127', '2249', '1165', '2368', '3425', '3282']	3	3.000000	3.000000
44	435	['1483', '736', '83', '994', '1691', '1259', '1394']	2	2.000000	2.000000
45	436	['44', '95', '2507', '267', '3425', '1597', '967']	2	2.000000	2.000000
46	437	['1606', '3414', '1805', '966', '901', '573', '1098']	3	3.000000	3.000000
47	438	['2591', '10', '135', '1535', '3397', '2196', '747']	2	2.000000	2.000000
48	187	['1800', '1632', '650', '1712', '1784', '767', '873']	2	2.000000	2.000000
49	188	['1879', '1226', '406', '1542', '2270', '2780', '346']	2	2.000000	2.000000
50	189	['207', '3270', '2289', '2369', '2855', '3173', '2287']	4	4.000000	4.000000
51	190	['1328', '1804', '2870', '1655', '709', '1770', '211']	2	2.000000	2.000000
52	191	['3612', '91', '3599', '2445', '26', '1716', '871']	4	4.000000	4.000000
53	192	['993', '1521', '410', '621', '730', '3530', '2669']	2	2.000000	2.000000
54	559	['770', '25', '2405', '1357', '3340', '3489', '1413']	3	3.000000	3.000000
55	560	['265', '1129', '3784', '3591', '2354', '1352', '59']	2	2.000000	2.000000
56	561	['1790', '2284', '2885', '2302', '1358', '11', '2834']	4	4.000000	4.000000
57	562	['44', '1594', '2187', '1130', '2529', '3220', '543']	2	2.000000	2.000000
58	563	['2087', '1122', '2654', '210', '1080', '1840', '1540']	3	3.000000	3.000000
59	564	['3623', '2323', '1236', '2346', '933', '2239', '1183']	2	2.000000	2.000000
60	1315	['3787', '1011', '3400', '727', '577', '1530', '1106']	3	3.000000	3.000000
61	1316	['3487', '1647', '1693', '2564', '1306', '3649', '1670']	2	2.000000	2.000000
62	1317	['3350', '3564', '2744', '2881', '3240', '1597', '2447']	2	2.000000	2.000000
63	1318	['3443', '3468', '555', '298', '3413', '96', '3757']	2	2.000000	2.000000
64	1319	['1799', '2503', '2784', '2656', '692', '3794', '1200']	2	2.000000	2.000000
65	1320	['3014', '558', '260', '3489', '3700', '3594', '1947']	2	2.000000	2.000000
66	2161	['94', '171', '3513', '1591', '2242', '1929', '646']	3	3.000000	3.000000
67	2162	['2339', '2960', '2434', '732', '1605', '3757', '1651']	2	2.000000	2.000000
68	2163	['2462', '3536', '1145', '993', '698', '1595', '1125']	2	2.000000	2.000000
69	2164	['1487', '1884', '3157', '2907', '2170', '1996', '1513']	2	2.000000	2.000000
70	2165	['3531', '1282', '1418', '1365', '37', '1790', '3615']	3	3.000000	3.000000
71	2166	['2728', '1418', '943', '1362', '2990', '203', '199']	2	2.000000	2.000000
72	2803	['1821', '1039', '695', '2566', '2088', '2432', '824']	2	2.000000	2.000000
73	2804	['2465', '462', '3739', '3593', '341', '3421', '2508']	2	2.000000	2.000000
74	2805	['2655', '460', '1803', '1130', '11', '2327', '3468']	3	3.000000	3.000000
75	2806	['3619', '741', '956', '3591', '3263', '2368', '1092']	2	2.000000	2.000000
76	2807	['3180', '2970', '3018', '2545', '977', '3758', '3734']	3	3.000000	3.000000
77	2808	['923', '2004', '3664', '3688', '1197', '2062', '3607']	2	2.000000	2.000000
78	2131	['2341', '2387', '2063', '2348', '2647', '277', '1814']	4	4.000000	4.000000
79	2132	['779', '182', '2649', '2518', '2410', '2983', '1079']	2	2.000000	2.000000
80	2133	['3762', '1721', '1588', '2596', '79', '205', '654']	3	3.000000	3.000000
81	2134	['2369', '489', '3605', '3065', '546', '300', '3698']	2	2.000000	2.000000
82	2135	['3324', '1187', '511', '720', '198', '1814', '2907']	4	4.000000	4.000000
83	2136	['1136', '3570', '621', '1932', '711', '1700', '83']	2	2.000000	2.000000
84	2809	['3193', '3704', '2620', '3300', '2433', '131', '2061']	2	2.000000	2.000000
85	2810	['2917', '2772', '1080', '2577', '1170', '40', '2174']	3	3.000000	3.000000
86	2811	['1362', '340', '3268', '2962', '30', '1591', '3687']	3	3.000000	3.000000
87	2812	['489', '3205', '2155', '668', '1719', '2769', '1338']	2	2.000000	2.000000
88	2813	['1541', '2948', '557', '3730', '2032', '3706', '3126']	3	3.000000	3.000000
89	2814	['654', '488', '1537', '714', '1796', '2087', '884']	2	2.000000	2.000000
90	379	['3182', '1648', '1305', '2952', '3511', '1930', '3341']	2	2.000000	2.000000
91	380	['492', '2201', '2567', '2676', '3083', '3248', '1179']	5	5.000000	5.000000
92	381	['508', '3306', '1011', '2582', '2689', '2596', '3561']	2	2.000000	2.000000
93	382	['1647', '3188', '2288', '1691', '924', '2079', '2525']	4	4.000000	4.000000
94	383	['3048', '749', '2304', '3534', '299', '3341', '1347']	2	2.000000	2.000000
95	384	['2083', '3648', '1770', '1328', '2503', '2524', '1932']	4	4.000000	4.000000
96	1951	['1050', '458', '3237', '3729', '3208', '3167', '2294']	4	4.000000	4.000000
97	1952	['3743', '80', '201', '1360', '3740', '922', '539']	2	2.000000	2.000000
98	1953	['3728', '2325', '209', '2568', '3339', '2031', '3644']	4	4.000000	4.000000
99	1954	['1378', '1839', '3618', '822', '3074', '3158', '2607']	2	2.000000	2.000000
100	1955	['1196', '3514', '2147', '2605', '2243', '3601', '1421']	4	4.000000	4.000000
101	1956	['2143', '193', '3514', '2754', '1335', '1336', '2906']	2	2.000000	2.000000
102	2257	['1776', '697', '1886', '422', '3066', '3243', '2094']	5	5.000000	5.000000
103	2258	['1367', '3170', '1456', '3197', '2250', '1886', '649']	5	5.000000	5.000000
104	2259	['2736', '2294', '1681', '3023', '3377', '2509', '3050']	4	4.000000	4.000000
105	2260	['2768', '1347', '305', '2532', '508', '457', '1131']	5	5.000000	5.000000
106	2261	['1964', '1655', '1261', '927', '2282', '2298', '1672']	5	5.000000	5.000000
107	2262	['848', '2509', '1178', '50', '731', '2486', '3421']	4	4.000000	4.000000
108	2755	['2387', '1690', '2609', '1136', '971', '2670', '509']	2	2.000000	2.000000
109	2756	['2527', '1295', '976', '256', '1070', '2873', '1078']	4	4.000000	4.000000
110	2757	['256', '342', '3126', '1055', '2632', '2533', '1054']	2	2.000000	2.000000
111	2758	['679', '127', '3606', '1135', '412', '993', '3594']	4	4.000000	4.000000
112	2759	['3701', '1861', '777', '501', '3791', '2064', '2059']	2	2.000000	2.000000
113	2760	['3735', '2858', '2341', '544', '295', '2992', '1281']	4	4.000000	4.000000
114	2773	['782', '263', '2198', '3213', '1691', '1867', '2323']	4	4.000000	4.000000
115	2774	['2526', '2863', '346', '1378', '3209', '3663', '1928']	4	4.000000	4.000000
116	2775	['3020', '1789', '51', '3652', '91', '1193', '1494']	4	4.000000	4.000000
117	2776	['3737', '1383', '2658', '235', '3411', '576', '1327']	4	4.000000	4.000000
118	2777	['1595', '2145', '1504', '3790', '2972', '3397', '2517']	4	4.000000	4.000000
119	2778	['1655', '3064', '2228', '2780', '2089', '2436', '2971']	4	4.000000	4.000000
120	787	['990', '1264', '2173', '2592', '2566', '1173', '2269']	4	4.000000	4.000000
121	788	['1679', '3620', '507', '2675', '1888', '2564', '3692']	2	2.000000	2.000000
122	789	['2170', '1345', '1069', '2509', '2896', '1684', '595']	4	4.000000	4.000000
123	790	['1838', '3787', '1814', '643', '1137', '296', '3176']	2	2.000000	2.000000
124	791	['727', '211', '3611', '2871', '1132', '3306', '1819']	4	4.000000	4.000000
125	792	['1064', '776', '3561', '440', '3282', '2564', '3376']	2	2.000000	2.000000
126	1549	['3288', '2729', '1744', '544', '1731', '2933', '425']	3	3.000000	3.000000
127	1550	['35', '1526', '2456', '579', '2549', '3312', '3491']	4	4.000000	4.000000
128	1551	['300', '1598', '1697', '784', '2328', '2481', '3352']	4	4.000000	4.000000
129	1552	['1547', '3154', '3276', '538', '1330', '2516', '3595']	3	3.000000	3.000000
130	1553	['33', '3683', '2077', '1704', '3375', '3339', '3152']	3	3.000000	3.000000
131	1554	['1175', '1245', '3230', '581', '3196', '2516', '1428']	3	3.000000	3.000000
132	2329	['2550', '2578', '1881', '736', '135', '1416', '3250']	2	2.000000	2.000000
133	2330	['3517', '990', '1456', '620', '240', '3176', '260']	5	5.000000	5.000000
134	2331	['1595', '119', '2547', '3385', '798', '48', '1188']	2	2.000000	2.000000
135	2332	['2123', '2597', '3596', '203', '2447', '40', '798']	4	4.000000	4.000000
136	2333	['2676', '2505', '1927', '2140', '686', '3610', '1044']	4	4.000000	4.000000
137	2334	['1596', '991', '1347', '94', '2654', '235', '1587']	5	5.000000	5.000000
138	2599	['2285', '106', '2144', '1510', '1248', '1395', '1503']	3	3.000000	3.000000
139	2600	['267', '1536', '2891', '1506', '1361', '2410', '1883']	5	5.000000	5.000000
140	2601	['1494', '3469', '485', '1653', '1818', '1396', '2160']	4	4.000000	4.000000
141	2602	['2338', '869', '3702', '795', '1677', '1394', '2906']	5	5.000000	5.000000
142	2603	['2833', '2196', '93', '947', '2899', '3441', '923']	3	3.000000	3.000000
143	2604	['3167', '229', '1839', '3431', '3487', '513', '1950']	4	4.000000	4.000000
144	3710	['2069', '2293', '1598', '3294', '3662', '867', '1839']	5	5.000000	5.000000
145	3711	['1504', '623', '985', '2297', '1506', '3050', '900']	3	3.000000	3.000000
146	3712	['2432', '3635', '1399', '2568', '1508', '2981', '2061']	5	5.000000	5.000000
147	3713	['2781', '1428', '2143', '1524', '1746', '897', '1995']	3	3.000000	3.000000
148	3714	['3687', '194', '623', '2780', '2461', '3195', '1591']	5	5.000000	5.000000
149	3715	['1511', '1053', '3155', '500', '709', '1043', '1379']	3	3.000000	3.000000
150	751	['398', '2610', '431', '3212', '3451', '94', '87']	4	4.000000	4.000000
151	752	['3166', '295', '695', '413', '2484', '2726', '2247']	2	2.000000	2.000000
152	753	['2730', '1171', '535', '2176', '684', '2124', '1008']	4	4.000000	4.000000
153	754	['3624', '1292', '921', '3289', '1171', '821', '958']	2	2.000000	2.000000
154	755	['3569', '1003', '2465', '3375', '2277', '685', '3294']	3	3.000000	3.000000
155	756	['3151', '306', '2968', '2123', '3560', '301', '3497']	2	2.000000	2.000000
156	2761	['1728', '377', '2151', '576', '31', '3591', '924']	2	2.000000	2.000000
157	2762	['1723', '1930', '709', '969', '1946', '1586', '2609']	5	5.000000	5.000000
158	2763	['1133', '2060', '1072', '1776', '2869', '109', '1050']	2	2.000000	2.000000
159	2764	['935', '2606', '719', '2476', '2448', '1174', '2461']	5	5.000000	5.000000
160	2765	['1345', '3685', '345', '63', '2457', '1548', '2138']	2	2.000000	2.000000
161	2766	['928', '727', '699', '646', '235', '890', '3735']	4	4.000000	4.000000
162	721	['1256', '1681', '1544', '1012', '556', '779', '2196']	5	5.000000	5.000000
163	722	['3082', '2517', '1703', '3697', '3782', '1796', '799']	2	2.000000	2.000000
164	723	['105', '53', '1326', '1383', '3405', '3789', '2563']	4	4.000000	4.000000
165	724	['135', '3079', '905', '1052', '1398', '3240', '2748']	3	3.000000	3.000000
166	725	['1086', '238', '36', '883', '1728', '1681', '304']	5	5.000000	5.000000
167	726	['83', '3704', '643', '2920', '3303', '746', '874']	2	2.000000	2.000000
168	2359	['668', '3183', '3742', '1655', '1417', '1725', '43']	5	5.000000	5.000000
169	2360	['2578', '2088', '3702', '632', '1306', '504', '414']	3	3.000000	3.000000
170	2361	['1183', '3213', '2354', '1325', '442', '3171', '541']	4	4.000000	4.000000
171	2362	['1346', '3625', '28', '2751', '1771', '3044', '946']	3	3.000000	3.000000
172	2363	['151', '992', '1398', '1800', '3534', '3667', '2157']	4	4.000000	4.000000
173	2364	['2672', '1678', '1496', '1018', '3265', '2481', '2674']	3	3.000000	3.000000
174	1909	['1546', '1123', '2771', '2293', '506', '258', '499']	2	2.000000	2.000000
175	1910	['692', '1040', '973', '1651', '2666', '503', '865']	4	4.000000	4.000000
176	1911	['3691', '399', '3238', '3100', '200', '2092', '1845']	2	2.000000	2.000000
177	1912	['1734', '1499', '728', '730', '643', '2652', '3782']	4	4.000000	4.000000
178	1913	['1424', '771', '214', '969', '2979', '1519', '2981']	2	2.000000	2.000000
179	1914	['3261', '2547', '3173', '2649', '106', '1745', '1777']	4	4.000000	4.000000
180	2413	['402', '41', '1519', '144', '3785', '1399', '489']	2	2.000000	2.000000
181	2414	['2728', '118', '924', '87', '2593', '1077', '3074']	4	4.000000	4.000000
182	2415	['40', '1522', '1874', '3620', '2140', '646', '1132']	2	2.000000	2.000000
183	2416	['2351', '1167', '2348', '3620', '3423', '703', '574']	4	4.000000	4.000000
184	2417	['2448', '207', '969', '3260', '1793', '1070', '3689']	3	3.000000	3.000000
185	2418	['84', '1222', '3439', '3083', '3208', '3230', '960']	4	4.000000	4.000000
186	3554	['2768', '2734', '933', '2616', '2241', '1348', '866']	2	2.000000	2.000000
187	3555	['2218', '2594', '1097', '1170', '1540', '373', '1655']	5	5.000000	5.000000
188	3556	['2271', '3619', '1338', '86', '3355', '1168', '2282']	4	4.000000	4.000000
189	3557	['1700', '3633', '2566', '688', '2673', '2119', '2638']	5	5.000000	5.000000
190	3558	['3124', '2863', '649', '3701', '3603', '3621', '2967']	4	4.000000	4.000000
191	3559	['867', '2694', '3089', '304', '154', '90', '3530']	5	5.000000	5.000000
192	949	['3145', '264', '2647', '2436', '3277', '2115', '3016']	4	4.000000	4.000000
193	950	['1512', '2767', '2138', '545', '2296', '2137', '2153']	2	2.000000	2.000000
194	951	['3192', '2961', '378', '932', '2654', '3750', '1172']	4	4.000000	4.000000
195	952	['3173', '2852', '780', '1045', '3609', '2833', '3405']	2	2.000000	2.000000
196	953	['1135', '3615', '943', '1873', '2339', '2188', '2201']	4	4.000000	4.000000
197	954	['707', '1770', '2114', '1097', '1487', '1004', '1042']	2	2.000000	2.000000
198	1975	['513', '1455', '2194', '120', '2488', '2883', '2963']	5	5.000000	5.000000
199	1976	['1864', '3187', '2447', '2388', '1120', '2061', '2188']	2	2.000000	2.000000
200	1977	['2401', '1352', '2900', '3355', '2004', '2529', '797']	4	4.000000	4.000000
201	1978	['3500', '1056', '492', '7', '3177', '739', '3245']	3	3.000000	3.000000
202	1979	['3532', '865', '1631', '426', '682', '1518', '2283']	4	4.000000	4.000000
203	1980	['2070', '2672', '2728', '1365', '32', '3017', '1592']	3	3.000000	3.000000
204	19	['1718', '786', '1499', '402', '1204', '3685', '278']	2	2.000000	2.000000
205	20	['1308', '1195', '1081', '1691', '2657', '314', '923']	4	4.000000	4.000000
206	21	['3533', '2227', '1790', '3698', '170', '2667', '2169']	2	2.000000	2.000000
207	22	['3470', '1512', '1681', '1460', '1722', '1225', '3519']	5	5.000000	5.000000
208	23	['670', '3285', '277', '2444', '684', '2175', '786']	2	2.000000	2.000000
209	24	['235', '2353', '2460', '2648', '2886', '2148', '2513']	4	4.000000	4.000000
210	625	['277', '1073', '3148', '972', '3062', '1382', '783']	2	2.000000	2.000000
211	626	['3076', '3565', '195', '2728', '280', '461', '2216']	2	2.000000	2.000000
212	627	['1147', '2068', '1815', '2358', '968', '2386', '3074']	2	2.000000	2.000000
213	628	['1295', '3470', '1018', '1790', '2033', '2881', '3219']	2	2.000000	2.000000
214	629	['2229', '1235', '1144', '3089', '3751', '1356', '731']	2	2.000000	2.000000
215	630	['1847', '1126', '1806', '1713', '906', '2994', '2117']	2	2.000000	2.000000
216	2701	['3247', '1994', '3741', '2433', '439', '318', '1868']	5	5.000000	5.000000
217	2702	['822', '596', '82', '3283', '2965', '1375', '1360']	4	4.000000	4.000000
218	2703	['3738', '3744', '2077', '1875', '784', '671', '3410']	2	2.000000	2.000000
219	2704	['969', '2905', '2653', '2532', '2207', '3655', '2433']	4	4.000000	4.000000
220	2705	['1654', '208', '2992', '1596', '2638', '1769', '1385']	5	5.000000	5.000000
221	2706	['1720', '543', '2328', '141', '713', '1839', '2838']	3	3.000000	3.000000
222	3133	['958', '2384', '3216', '238', '207', '1098', '3270']	3	3.000000	3.000000
223	3134	['3191', '439', '3305', '3153', '2905', '2563', '681']	4	4.000000	4.000000
224	3135	['3600', '2458', '1346', '53', '736', '2489', '1143']	3	3.000000	3.000000
225	3136	['3788', '1244', '315', '1266', '2345', '1232', '1731']	3	3.000000	3.000000
226	3137	['1006', '1652', '1331', '54', '686', '2368', '600']	3	3.000000	3.000000
227	3138	['1649', '1243', '3495', '814', '1487', '94', '1821']	4	4.000000	4.000000
228	3584	['1505', '31', '3378', '2295', '2370', '2564', '3085']	2	2.000000	2.000000
229	3585	['1066', '3322', '408', '340', '2654', '622', '1726']	4	4.000000	4.000000
230	3586	['3499', '489', '133', '90', '2854', '2866', '1819']	3	3.000000	3.000000
231	3587	['2837', '1731', '819', '3753', '1256', '3596', '3236']	3	3.000000	3.000000
232	3588	['1872', '2215', '3294', '1528', '2636', '3185', '2158']	2	2.000000	2.000000
233	3589	['1069', '479', '1264', '3165', '2885', '1840', '8']	4	4.000000	4.000000
234	3505	['1015', '2080', '1652', '695', '92', '1133', '444']	3	3.000000	3.000000
235	3506	['1878', '1232', '3569', '318', '40', '278', '3322']	2	2.000000	2.000000
236	3507	['2979', '1725', '2447', '1932', '795', '2897', '654']	2	2.000000	2.000000
237	3508	['2355', '734', '1948', '254', '2582', '2860', '2614']	2	2.000000	2.000000
238	3509	['1043', '3530', '41', '1742', '3198', '408', '3080']	2	2.000000	2.000000
239	3510	['2404', '295', '920', '107', '691', '3310', '796']	2	2.000000	2.000000
240	73	['3122', '277', '2340', '1786', '3502', '692', '3097']	2	2.000000	2.000000
241	74	['634', '2242', '2735', '1542', '3294', '763', '2578']	4	4.000000	4.000000
242	75	['3156', '3564', '3648', '2123', '1768', '3645', '1403']	2	2.000000	2.000000
243	76	['778', '744', '1679', '1994', '344', '3762', '3097']	5	5.000000	5.000000
244	77	['3519', '993', '1232', '2882', '1381', '1062', '3022']	2	2.000000	2.000000
245	78	['770', '1184', '3751', '3469', '408', '1059', '820']	4	4.000000	4.000000
246	1933	['130', '826', '766', '885', '136', '347', '1585']	2	2.000000	2.000000
247	1934	['2613', '990', '1585', '2605', '1198', '2730', '2754']	2	2.000000	2.000000
248	1935	['509', '1520', '1774', '1777', '868', '1321', '2137']	2	2.000000	2.000000
249	1936	['893', '1525', '553', '1588', '2485', '3275', '1512']	2	2.000000	2.000000
250	1937	['2350', '477', '3652', '3242', '934', '1528', '2872']	2	2.000000	2.000000
251	1938	['737', '2289', '1173', '513', '426', '2475', '3167']	2	2.000000	2.000000
252	2911	['813', '865', '883', '2651', '3187', '2968', '1227']	2	2.000000	2.000000
253	2912	['847', '378', '406', '1459', '632', '2083', '597']	4	4.000000	4.000000
254	2913	['3273', '2175', '1125', '2883', '500', '799', '1787']	2	2.000000	2.000000
255	2914	['924', '3664', '685', '1195', '442', '1171', '180']	4	4.000000	4.000000
256	2915	['3431', '1870', '1824', '3652', '338', '710', '281']	2	2.000000	2.000000
257	2916	['3062', '268', '140', '683', '1744', '1078', '1542']	2	2.000000	2.000000
258	877	['554', '1605', '3794', '3758', '3729', '3156', '1359']	4	4.000000	4.000000
259	878	['1648', '1840', '1792', '3019', '298', '2734', '1515']	2	2.000000	2.000000
260	879	['1599', '2983', '826', '1897', '1786', '772', '3748']	5	5.000000	5.000000
261	880	['1593', '140', '2461', '1507', '428', '929', '2655']	2	2.000000	2.000000
262	881	['3075', '578', '1224', '3540', '2174', '3444', '2145']	4	4.000000	4.000000
263	882	['703', '2236', '2833', '2147', '458', '971', '1188']	4	4.000000	4.000000
264	2011	['870', '3786', '3633', '2578', '3662', '555', '1901']	4	4.000000	4.000000
265	2012	['3304', '1190', '2358', '2151', '510', '1775', '3014']	2	2.000000	2.000000
266	2013	['1402', '1490', '238', '1647', '1506', '239', '1427']	4	4.000000	4.000000
267	2014	['2749', '1598', '1846', '3613', '1142', '3637', '2093']	2	2.000000	2.000000
268	2015	['1050', '1931', '267', '686', '741', '651', '1698']	4	4.000000	4.000000
269	2016	['2347', '1683', '194', '2854', '1175', '1821', '3737']	2	2.000000	2.000000
270	415	['1998', '1142', '947', '622', '1770', '3075', '944']	4	4.000000	4.000000
271	416	['2949', '25', '3702', '2066', '1679', '2119', '796']	2	2.000000	2.000000
272	417	['1490', '1690', '1788', '2234', '1150', '3183', '682']	4	4.000000	4.000000
273	418	['3425', '707', '81', '2402', '2042', '1428', '480']	2	2.000000	2.000000
274	419	['3493', '542', '84', '708', '3291', '2906', '2564']	4	4.000000	4.000000
275	420	['1261', '1697', '317', '1233', '3601', '1363', '2270']	2	2.000000	2.000000
276	853	['1012', '1266', '2300', '2189', '44', '2270', '1348']	2	2.000000	2.000000
277	854	['696', '1689', '1806', '2869', '88', '1888', '3611']	4	4.000000	4.000000
278	855	['2637', '1333', '2639', '720', '2969', '2918', '3706']	2	2.000000	2.000000
279	856	['3402', '1004', '2746', '53', '3358', '2563', '2168']	4	4.000000	4.000000
280	857	['3499', '577', '770', '1696', '1734', '3049', '1766']	2	2.000000	2.000000
281	858	['3740', '3162', '987', '577', '3471', '3166', '3319']	4	4.000000	4.000000
282	3025	['2622', '2357', '2618', '1459', '2059', '1139', '1228']	3	3.000000	3.000000
283	3026	['1396', '1281', '3571', '973', '3517', '466', '2749']	4	4.000000	4.000000
284	3027	['1397', '1403', '11', '3186', '1646', '259', '3206']	3	3.000000	3.000000
285	3028	['1789', '180', '619', '2419', '3728', '2637', '3504']	4	4.000000	4.000000
286	3029	['259', '2295', '2519', '2975', '3194', '506', '1670']	3	3.000000	3.000000
287	3030	['3166', '3514', '2967', '2989', '3122', '2504', '303']	4	4.000000	4.000000
288	3325	['1671', '889', '1769', '1359', '1414', '406', '847']	4	4.000000	4.000000
289	3326	['3156', '421', '2615', '1069', '1877', '985', '3567']	2	2.000000	2.000000
290	3327	['2964', '683', '484', '2286', '2324', '1235', '3352']	4	4.000000	4.000000
291	3328	['1511', '3757', '1223', '2904', '2206', '2344', '1700']	2	2.000000	2.000000
292	3329	['1041', '624', '3389', '209', '2124', '964', '2205']	4	4.000000	4.000000
293	3330	['1844', '3319', '2631', '1541', '3795', '3703', '1074']	2	2.000000	2.000000
294	3331	['3277', '2149', '3247', '1879', '891', '700', '1523']	5	5.000000	5.000000
295	3332	['962', '2734', '134', '2080', '1057', '1871', '1019']	4	4.000000	4.000000
296	3333	['2420', '544', '2448', '2884', '1765', '2151', '744']	5	5.000000	5.000000
297	3334	['1504', '3444', '1873', '103', '3692', '2948', '776']	4	4.000000	4.000000
298	3335	['3413', '1796', '1384', '1345', '2084', '443', '2290']	5	5.000000	5.000000
299	3336	['475', '3320', '3275', '1866', '65', '2325', '174']	4	4.000000	4.000000
300	1207	['172', '3454', '1823', '3496', '579', '2455', '3636']	3	3.000000	3.000000
301	1208	['1842', '3280', '3604', '3616', '811', '1878', '1587']	4	4.000000	4.000000
302	1209	['2964', '2780', '3592', '1043', '2245', '2463', '1532']	3	3.000000	3.000000
303	1210	['1504', '1483', '1044', '2460', '3443', '2979', '737']	5	5.000000	5.000000
304	1211	['1842', '2520', '777', '3782', '2638', '3212', '3378']	4	4.000000	4.000000
305	1212	['195', '683', '1731', '1325', '2275', '3762', '109']	4	4.000000	4.000000
306	157	['2297', '3247', '1769', '2479', '1266', '1040', '2140']	5	5.000000	5.000000
307	158	['1817', '2177', '2582', '2920', '2782', '3431', '240']	2	2.000000	2.000000
308	159	['2465', '2352', '2863', '3351', '1053', '3739', '2345']	4	4.000000	4.000000
309	160	['929', '1863', '303', '1818', '3277', '3756', '1463']	2	2.000000	2.000000
310	161	['500', '2159', '3439', '1597', '3251', '2383', '823']	4	4.000000	4.000000
311	162	['3782', '1949', '899', '2002', '2044', '2863', '1948']	2	2.000000	2.000000
312	445	['431', '3156', '1071', '1790', '2651', '3532', '1700']	4	4.000000	4.000000
313	446	['2882', '2512', '3356', '2062', '2123', '715', '2365']	2	2.000000	2.000000
314	447	['688', '2902', '1897', '1083', '58', '772', '2908']	4	4.000000	4.000000
315	448	['1815', '1901', '3499', '711', '1094', '3795', '129']	2	2.000000	2.000000
316	449	['1684', '3795', '1282', '3234', '2619', '2218', '2279']	4	4.000000	4.000000
317	450	['302', '1769', '1393', '688', '3539', '2457', '3697']	2	2.000000	2.000000
