gloss	synset	lemma	word
(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other	단층 수직_단층 수직단층 수평_단층 수평단층 역단층 오버스러스트 오버쓰러스트 정단층 주향_이동_단층 주향이동단층 힌지_단층 힌지단층 구조선 단층_지진 단층_지형 단층_파쇄대 단층대 단층면 단층운동 단층지대 단층지진 단층지형 단층파쇄대 단층형_지진 땅끊임 선구조 슈도타킬라이트 양단층 인리형_분지 지진_단층 지진단층 활성_단층 결함_비행기 오류있는 장애_라인의 지질_학적_장애 파업_슬립	fault	faults
an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study	학위 대학원_학위 각	degree	degree
a position on a scale of intensity or amount or quality	등급 고도 기울기 농도 도 물 수평 정도 탄탄 턱 푼수 규모도	degree	degree
a metallic tapping sound		tick	tick
any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals	진드기 쩨케 체케 후기문아목 후기문진드기목 큰진드기	tick	tick
the inner surface of the hand from the wrist to the base of the fingers	손바닥 손 수장 thenar와	palm	palms
any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves	야자수 야자 야자_나무	palm	palms
a body of students who are taught together	과정 코스 학년 종	class	class
elegance in dress or behavior		class	class
someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)	연사 연설자 화자 verbaliser verbalizer 강연자 연사는	speaker	speakers
electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance	스피커 확성기 경음기 고성기 사운드_스피커 스피커_시스템 스피커_유닛 확성기를_번역되었습니다	speaker	speakers
information (data or ideas or observations) that can be used or reworked into a finished form	질	material	material
artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers	직물 옷감 편성물 피륙 날실 씨실 의차 천 물 베 포목 행주 헝겊 섬유	material	material
move past		pass	passed
eliminate from the body	배설하 배출하	pass	passed
the body excluding the head and neck and limbs	몸통 동체 흉상 나체 몸 사체 상반신 상체 신체 줄기	body	body
a collection of particulars considered as a system	신체	body	body
bring into safety		save	saved
save from sins		save	saved
spend less; buy at a reduced price		save	save
one of the inherent cognitive or perceptual powers of the mind	정신_교수	faculty	faculties
the body of teachers and administrators at a school	학부 학과	faculty	faculties
a general and progressive increase in prices	인플레이션 인플레 통화_팽창 물가상승률 인플레이션율 통화팽창 고등 등귀 물가상승 앙등 조용 상승_가격 식품_인플레이션	inflation	inflation
the act of filling something with air	팽창	inflation	inflation
something left after other parts have been taken away	여분 나머지	rest	rest
a pause for relaxation	나머지_기간	rest	rest
conceal or hide		repress	repress
put out of one's consciousness		repress	repress
an open fabric of string or rope or wire woven together at regular intervals	그물 망 무어-스미스_수열 meshwork 순 와이어_메쉬	net	net
the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)	순이익 이익 순수익 순익 득 소득 수익 순리 영리 이 이득 이윤 잇속 플러스 순_수입	net	net
a trap made of netting to catch fish or birds or insects	그물 네트	net	net
a fact or assertion offered as evidence that something is true	논거	argument	argument
(computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program	매개변수 인자	argument	argument
declare to be true or admit the existence or reality or truth of	승인하다 인정하다 긍정하 승인하 시인하 자인하	admit	admit
allow to enter; grant entry to	수용하	admit	admit
the quality of being at a refreshingly low temperature		cool	cool
great coolness and composure under strain	노래_-_froid 수직 확실	cool	cool
undergo an emotional sensation or be in a particular state of mind		feel	feel
perceive by a physical sensation, e.g., coming from the skin or muscles	감각하 지각하 느낄	feel	feel
computer network consisting of a collection of internet sites that offer text and graphics and sound and animation resources through the hypertext transfer protocol	월드_와이드_웹 www www2006 www2007 w world_wide_web www. 넷_서핑 넷서핑 망유람 사이버서핑 웹_기반_기술 웹_기술 웹_서핑 웹_테크놀로지 웹랜드 웹서핑	web	web
an intricate network suggesting something that was formed by weaving or interweaving		web	web
how something is done or how it happens	길 도리 모양 방도 방법 방식 법 수단 수법 체 투 패션 풍조 모드입니다 방식으로	fashion	fashion
the latest and most admired style in clothes and cosmetics and behavior	패션 유행 流行 패션계 식 풍조	fashion	fashion
a characteristic sound		ring	ring
jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger	반지 가락지	ring	ring
a platform usually marked off by ropes in which contestants box or wrestle		ring	ring
get into one's hands, take physically		take	take
serve oneself to, or consume regularly		take	take
young of domestic cattle	송아지	calf	calf
the muscular back part of the shank	종아리 장딴지	calf	calf
the story that is told in a novel or play or movie etc.	플롯 파불라 줄거리는	plot	plot
a small area of ground covered by specific vegetation	밭 구상 땅 땅_플롯 토지의_음모	plot	plot
marked by emotional heat; vehement		heat	heated
made warm or hot ('het' is a dialectal variant of 'heated')	열 가열 열_에너지 열기	heat	heated
a light, self-propelled movement upwards or forwards	내리는	leap	leap
an abrupt transition	변이	leap	leap
determine the number or amount of		count	count
have faith or confidence in	간주하	count	count
the act of counting; reciting numbers in ascending order	목록 셈 나열 명부 표 열거 실사 조사 계수 수_읽기의	count	count
a nobleman (in various countries) having rank equal to a British earl	백작 백작_부인 백작부인 수 comital countship 세비	count	count
a particular environment or surrounding influence		atmosphere	atmosphere
the mass of air surrounding the Earth	지구_대기권 지구_대기 지구의_대기 지구대기 물	atmosphere	atmosphere
the communication (in speech or writing) of your beliefs or opinions	발상 수식 표명 표시 표출 표현 형언 구두_표현	expression	expressions
a group of symbols that make a mathematical statement	공식 수식 식	expression	expressions
a long flexible snout as of an elephant	줄기	trunk	trunks
trousers that end at or above the knee	트렁크 수하물_칸 자동차_트렁크	trunk	trunks
an ignorant or foolish person	멍청이 얼간이	dummy	dummy
a figure representing the human form		dummy	dummy
a sequence of numbers or letters that opens a combination lock		combination	combination
a collection of things that have been combined; an assemblage of separate parts or qualities		combination	combination
a group of people (often temporary) having a common purpose	짝	combination	combination
a framework of ribs	갈비	rib	ribbing
the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances		rib	ribbing
a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning	폭풍 폭풍우 스톰 폭력_폭풍	storm	storm
a violent commotion or disturbance	폭풍우	storm	storm
a direct and violent assault on a stronghold		storm	storm
the concentration of attention or energy on something	초점	focus	focus
maximum clarity or distinctness of an image rendered by an optical system		focus	focus
express complaints, discontent, displeasure, or unhappiness		kick	kicking
strike with the foot		kick	kicking
the act of delivering a blow with the foot	차기 발차기 킥 걷어_차기 걷어차기 발_차기 발길질 도끼_킥과	kick	kick
the swift release of a store of affective force	쾌재 흥분	kick	kick
a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air	창 창문 윈도우 문	window	window
the time period that is considered best for starting or finishing something		window	window
a television station and its programs	텔레비전_채널 채널 tv_채널 tv채널 떼레비_통로 떼레비통로 텔레비전채널	channel	channels
official routes of communication	통신_채널	channel	channels
a light shower that falls in some locations and not others nearby		sprinkle	sprinkles
bits of sweet chocolate used as a topping on e.g. ice cream	살포	sprinkle	sprinkles
not easy; requiring great physical or mental effort to accomplish or comprehend or endure	곤란한 어려운 어렵다 힘들다	hard	hardest
resisting weight or pressure	하드	hard	hardest
a reference point to shoot at	표적 과녁 타겟 타깃 기호 마크 상표 적 표식 표지	target	target
the goal intended to be attained (and which is believed to be attainable)	목적 목표 타겟 타깃	target	target
work out		evolve	evolved
undergo development or evolution		evolve	evolved
a question raised for consideration or solution	과제 문제 숙제 이슈	problem	problems
a source of difficulty	과제 문제 이슈 문제를	problem	problems
a state of difficulty that needs to be resolved	문제 곤란 난경 어려움 과제 난제 이슈	problem	problem
an informal term for a father; probably derived from baby talk	아버지 아빠 부친 pappa	pop	Pop
a sweet drink containing carbonated water and flavoring	사이다 소다_팝	pop	Pop
an organization to gain political power	정당 당 원내정당 원외정당 정당_정치 정당의_해산 정당정치 파티	party	party
a group of people gathered together for pleasure		party	party
(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence		hear	hearing
the ability to hear; the auditory faculty	듣다	hear	hearing
an accumulation caused by clogging or a stoppage		backup	backup
(computer science) a copy of a file or directory on a separate storage device	백업 데이터_백업 백업_디스크 자료_백업 백업_파일 백업파일 컴퓨터_백업	backup	backup
the physical condition of being stretched or strained	긴장 긴박	tension	tension
(psychology) a state of mental or emotional strain or suspense	스트레스 심적고통 전신적응증후군 긴박 긴장	tension	tension
written contract or certificate of insurance	보험계약 상해보험계약 확보 보험	policy	policy
a plan of action adopted by an individual or social group		policy	policy
use as a basis for; found on		ground	grounded
connect to a ground		ground	grounded
be lying, be prostrate; be in a horizontal position	놓이다	lie	lie
tell an untruth; pretend with intent to deceive		lie	lie
a statement that deviates from or perverts the truth	거짓말 가짜 거짓말쟁이 구라 꽝포 날조 뻥 허보 허위 허전	lie	lie
position or manner in which something is situated	위치	lie	lie
lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction	성냥 성냥갑 성냥개비 마찰_일치 마찰_일치하는	match	match
a formal contest in which two or more persons or teams compete		match	match
provide (usually but not necessarily food)	제공합니다	serve	serve
put the ball into play		serve	serve
being or characteristic of a single thing or person	하나의	single	single
not married or related to the unmarried state		single	single
very bad		lousy	lousy
infested with lice		lousy	lousy
a preliminary sketch of a design or picture	거친_그림	draft	draft
a serving of drink (usually alcoholic) drawn from a keg	생 알코올_음료	draft	draft
street names for marijuana	마리화나 대마초 마약 마취제 sens sess 녹색_여신 메리_제인	grass	grass
narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay	풀 목초 graminoid	grass	grass
soft decayed area in a tooth; progressive decay can lead to the death of a tooth	충치 카리에스 치아_우식증 이삭기 치아우식증 cariogenic 치과_충치 치과_카리에스	cavity	cavity
(anatomy) a natural hollow or sinus within the body	cavum 신체_캐비티	cavity	cavity
approval		credit	credit
money available for a client to borrow	신용	credit	credit
reduce or cause to be reduced from a solid to a liquid state, usually by heating		melt	melting
become less intense and fade away gradually		melt	melting
an entertainer who has a sensational effect		bombshell	bombshell
an explosive bomb or artillery shell	포탄 폭탄	bombshell	bombshell
warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	새 aves 날짐승 조류 조강 닭	bird	bird
badminton equipment consisting of a ball of cork or rubber with a crown of feathers	셔틀콕 깃털공 왕복하는_것	bird	bird
the ideal in terms of which something can be judged	표준	standard	standards
any distinctive flag	기 기치 깃대 깃발	standard	standards
general term for any insect or similar creeping or crawling invertebrate	곤충 벌레 빈대	bug	bugs
a fault or defect in a computer program, system, or machine	글리치	bug	bugs
a serving that has been cut from a larger portion		slice	slice
a golf shot that curves to the right for a right-handed golfer		slice	slice
the striking of one body against another	충돌 탄착 충격	impact	impact
a forceful consequence; a strong effect		impact	impact
a small piece or quantity of something		bit	bit
piece of metal held in horse's mouth by reins and used to control the horse while riding	재갈	bit	bit
a very attractive or seductive looking woman	가인 미녀 미인 여인 창녀 룰루 프로_레슬러 프로_레슬링_일치의	knockout	knockout
a blow that renders the opponent unconscious	녹아웃 k.o. 넉_아웃 넉아웃 녹_아웃 녹다운 테크니컬_넉아웃 테크니컬_녹아웃 ko 노크_아웃 케이_점_어우	knockout	knockout
used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning		hot	hot
extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm		hot	hot
an unshakable belief in something without need for proof or evidence	신념 확신	conviction	conviction
(criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed	유죄 형벌 양형 유죄_판결 유죄판결 문장에 신념의_판단	conviction	conviction
a flower that blooms in a particular way		bloomer	bloomers
underpants worn by women	ng 바보짓 flub 고래_뼈를_넣는_사람 더러운_업 부_-_부 서투른_솜씨 서투른_짓을하다 큰_실수	bloomer	bloomers
savory dressings for salads; basically of two kinds: either the thin French or vinaigrette type or the creamy mayonnaise type	복장 드레스 옷 의복 의상 옷차림_새	dress	dressing
the activity of getting dressed; putting on clothes		dress	dressing
an article giving opinions or perspectives	사설 칼럼 신문_사설 논설 신문_칼럼 편집 편집_페이지	column	columns
(architecture) a tall vertical cylindrical structure standing upright and used to support a structure	기둥 주랑_열주 기듕	column	columns
any of numerous European and North American birds having pointed wings and a long tail	두견과 뻐꾸기과 cuculus_canorus 두견이과 뻐꾸깃과 두견잇과 뻐꾸기 cuckoos	cuckoo	cuckoo
a man who is a stupid incompetent fool	멍청이 놈 바보 얼간이 등신	cuckoo	cuckoo
the basis on which something is grounded		foundational	foundational
lowest support of a structure		foundational	foundational
a lightweight handheld collapsible canopy	우산과_양산 우산 양산 파라솔 슈룹 🌂 파라솔과	umbrella	umbrella
having the function of uniting a group of similar things		umbrella	umbrella
stunned or confused and slow to react (as from blows or drunkenness or exhaustion)		foggy	foggiest
filled or abounding with fog or mist		foggy	foggiest
an unforeseen obstacle		hitch	hitch
a knot that can be undone by pulling against the strain that holds it; a temporary knot		hitch	hitch
greater than normal in degree or intensity or amount	높은	high	high
(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like 'knee-high')	높은	high	high
look furtively		peep	peeped
speak in a hesitant and high-pitched tone of voice		peep	peeped
behave in a certain manner		conduct	conduct
lead, as in the performance of a composition	행세하	conduct	conduct
a woman's sleeveless undergarment	슬립 전표	slip	slip
the act of avoiding capture (especially by cunning)	도피 벗어난	slip	slip
a device for creating a current of air by movement of a surface or surfaces	선풍기 팬리스 냉각_팬	fan	fan
an ardent follower and admirer	팬 마니아 매니아 애호가 지지자 광신자 서포터 서포터스 서포터즈 열성가	fan	fan
an enthusiastic devotee of sports	팬 덕후 코로_땅을_파는_동물	fan	fans
to extremes		overboard	overboard
from on board a vessel into the water		overboard	overboard
a sense of concern with and curiosity about someone or something	흥미 관심 흥미로움 마음	interest	interest
a fixed charge for borrowing money; usually a percentage of the amount borrowed	이자 이식 이익 리식 리자 금리 우대금리 화폐_이자 화폐이자 관계 길미 연줄 이율 이해관계	interest	interest
a distinctive interpretation (especially as used by politicians to sway public opinion)		spin	spins
the act of rotating rapidly	소용돌이 자전 회전	spin	spins
hang freely		suspend	suspended
bar temporarily; from school, office, etc.		suspend	suspended
a meeting arranged in advance		date	date
sweet edible fruit of the date palm with a single long woody seed	대추	date	date
the act of reducing the amount or number		cut	cuts
the act of shortening something by chopping off the ends	자르기 가위_자르기 가위자르기 절단 절삭 절삭_가공 절삭가공	cut	cuts
shorten as if by severing the edges or ends of		cut	cutting
be able to manage or manage successfully		cut	cutting
the act of cutting something into parts	가름	cut	cut
(sports) a stroke that puts reverse spin on the ball		cut	cut
separate with or as if with an instrument	절단하 커트하	cut	cut
a neutral zone between two rival powers that is created in order to diminish the danger of conflict	완충_지대 완충_지역 완충지대 버퍼_존 버퍼_영역	buffer	buffer
an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)		buffer	buffer
be capable of holding or containing		contain	contains
lessen the intensity of; temper; hold in restraint; hold or keep within limits	제어	contain	contains
an unfortunate mishap; especially one causing damage or injury	사고 교통사고 탈	accident	accident
anything that happens suddenly or by chance without an apparent cause	급변 사변 이변 기회_이벤트 우연성	accident	accident
sound of rapid vibration	노이즈_마케팅 노이즈마케팅 bombilation bombination 버즈_마케팅	buzz	buzz
a confusion of activity and gossip		buzz	buzz
a fixed and persistent intent or purpose	의지 의지력 의지작용 의사작용 뜻 마음 목표 의욕 정신	will	will
a legal document declaring a person's wishes regarding the disposal of their property when they die	유서	will	will
(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon	정사각형 바른사각형 네모 정방형	square	square
someone who doesn't understand what is going on		square	square
pod of the peanut vine containing usually 2 nuts or seeds; 'groundnut' and 'monkey nut' are British terms	땅콩 땅콩_완두콩 원숭이_너트	peanut	peanuts
an insignificant sum of money; a trifling amount		peanut	peanuts
a number that has no factor but itself and 1	소수 주요_수량	prime	prime
of superior grade		prime	prime
the period of greatest prosperity or productivity	개화기 소수 수세 절정 최고조 한창 전성기	prime	prime
the choicest or most essential or most vital part of some idea or experience	본질 핵심 실질 정기 정통 주지 마음과_영혼 핵심이지만_♪	heart	heart
the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body	심장 자동능	heart	heart
show a response or a reaction to something	반응	reaction	reaction
undergo a chemical reaction; react with another substance under certain conditions	화학_반응 화학반응 반응계 반응 화학_반응을 화학적으로	reaction	reaction
a period of indeterminate length (usually short) marked by some action or condition	한동안 한참 동안 계제 기간 기회 덧 때 사이 시간 시기 시대 시일 시절 시점 호기	patch	patch
a mental position from which things are viewed	관점 부지 생각 관점에서 점	viewpoint	viewpoint
a place from which something can be viewed	관점	viewpoint	viewpoint
disgraceful gossip about the private lives of other people	괴문 스캔들 추문 악의적_인_소문	dirt	dirt
the part of the earth's surface consisting of humus and disintegrated rock	땅 맨땅 부유물 지 진흙 토양 흙 질	dirt	dirt
the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus	미각 맛 미각작용 기본_맛 무미 미각적 신_맛 신맛 쓴_맛 쓴맛 지방맛 짠_맛 짠맛 감칠맛 경험 구미 기미 입맛 풍미 gustatory gustatory_센세이션 gustatory_인식 맛_감각 맛_인식	taste	taste
a brief experience of something	경험	taste	taste
delicate discrimination (especially of aesthetic values)	감식 경험 식견 식별 안식 인식 통찰 판별	taste	taste
the merchandise that a shop has on hand	재고 상품 재고품	stock	stock
liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces	맑은국 밑국물 고기_국물 맛국물 맑은탕 육수 고기_맑은국 고기_맛국물 고기_밑국물 고기_육수 고기국물 고기맑은국 고기맛국물 고기밑국물 고기육수 고깃국물 맑은_국 맑은_국물 맑은_수프 맑은국물 브로도 비프_티 씨육수 은크라크라_은콴 칼도 칼도어 칼두 주식	stock	stock
a learner who is enrolled in an educational institution	학생 생도 제자 남학생 여학생 재학생 전교생 중고생 초중고생 초중생 고교생 고등학생 기숙생 남고생 남대생 남중생 대학생 대학원생 여대생 여중생 중학생 초등학생 학도 educatee 학년	pupil	pupils
the contractile aperture in the center of the iris of the eye; resembles a large black dot	눈동자 동공	pupil	pupils
a main course served on a plate		plate	plate
a dental appliance that artificially replaces missing teeth	의치 치과_판	plate	plate
a feeling of intense anger	격정 광기 광란 발광	rage	rage
an interest followed with exaggerated zeal	유행 trend 대세 대유행 류행 트랜드 트렌드 트렌디 붐 일시적_유행	rage	rage
the spatial arrangement of something as distinct from its substance	모양 형상 도형 형식 외형 평면_도형 거푸집 꼴 맵시 모양새 모형 복장 용모 유형 자세 짝 체형 폼 형 형용 형체 형태	shape	shape
the state of (good) health (especially in the phrases 'in condition' or 'in shape' or 'out of condition' or 'out of shape')		shape	shape
informal terms for a human 'tooth'	치아 진주의	chopper	choppers
an aircraft without wings that obtains its lift from the rotation of overhead blades	헬리콥터 직승기 직승비행기 헬기 whirlybird	chopper	choppers
a state in New England; one of the original 13 colonies	질량 상대론적_질량 질량의_단위	mass	Mass
(Roman Catholic Church and Protestant Churches) the celebration of the Eucharist	미사 미사_성제 미사_전례 미사성제 교중_미사 교중미사	mass	Mass
the most interesting or memorable part	높은_곳	highlight	highlights
an area of lightness in a picture	하이라이트 강조	highlight	highlights
form a cover over	충당하기	cover	covered
protect by insurance		cover	covered
bedding that keeps a person warm in bed	이불 담요 덮개 모포	cover	cover
a false identity and background (especially one created for an undercover agent)	덮	cover	cover
a fee charged in advance to retain the services of someone		retainer	retainer
a dental appliance that holds teeth (or a prosthesis) in position after orthodontic treatment		retainer	retainer
a committee having supervisory powers	대	board	board
a stout length of sawn timber; made in a wide variety of sizes and used for many purposes	널빤지 판자 널판지 널 목재 목판 판 패널 평판 판자의	board	board
(physics) electromagnetic radiation that can produce a visual sensation	빛 가시광선 광원 광명 광선 후광 가시_광선 눈에_보이는_방사선 빛의_파장	light	light
a particular perspective or aspect of a situation	견지 관점 빛 생각 빛에	light	light
surprise greatly; knock someone's socks off		shock	shock
subject to electrical shocks		shock	shock
take without the owner's consent	훔치다 도둑맞 도둑질하 절도하 절취하 훔치	steal	steal
steal a base		steal	steal
an overall beauty treatment (involving a person's hair style and cosmetics and clothing) intended to change or improve a person's appearance		makeover	makeover
a complete reconstruction and renovation of something	수선	makeover	makeover
attach something somewhere by means of nails		nail	nailing
succeed at easily		nail	nailing
a person who rescues you from harm or danger	구세주	deliverer	deliverer
someone employed to make deliveries	배달_소년 배달원	deliverer	deliverer
a cherished desire	열망 염원 포부	dream	dream
a series of mental images and emotions occurring during sleep	꿈	dream	dream
goad or provoke,as by constant criticism		needle	needling
prick with a needle		needle	needling
a dull stupid fatuous person	곰 촌놈	jerk	jerk
an abrupt spasmodic movement	튀김	jerk	jerk
be attracted to		gravitate	gravitated
move due to the pull of gravitation		gravitate	gravitated
an inability to remember or think of something you normally can do; often caused by emotional tension	정신_폐색 정신폐색 정신_블록	block	block
a three-dimensional shape with six square or rectangular sides	직육면체	block	block
an oppressive condition of physical or mental or social or economic distress		pressure	pressure
the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)	압력 단위_면적_당_힘 압력_레벨	pressure	pressure
having the character or disposition harmed by pampering or oversolicitous attention		spoil	spoiled
(of foodstuffs) not in an edible or usable condition		spoil	spoiled
to make a rush at or sudden attack upon, as in battle	돌격하 습격하 진격하	charge	charged
demand payment		charge	charged
the magistrate or judge or judges sitting in court in judicial capacity to compose the court collectively	법관	bench	bench
a long seat for more than one person	벤치 긴의자 걸상 의자 벤치에	bench	bench
give birth to a litter of animals		litter	littering
make a place messy by strewing garbage around		litter	littering
a fee levied for the use of roads or bridges (used for maintenance)	사용료 통행료	toll	toll
value measured by what must be given or done or undergone to obtain something	값	toll	toll
a group of religious congregations having its own organization and a distinctive faith	교파 기독교_종파는	denomination	denominations
a class of one kind of unit in a system of numbers or measures or weights or money	디노미네이션 데노미네이션	denomination	denominations
blow hard; be gusty, as of wind		bluster	bluster
show off		bluster	bluster
a strong current of air	돌풍 바람 폭풍 일진의_바람	blow	blow
an unfortunate happening that hinders or impedes; something that is thwarting or frustrating	패배	blow	blow
a powerful stroke with the fist or a weapon		blow	blow
forceful exhalation through the nose or mouth	불	blow	blow
play or sound a wind instrument		blow	blew
make a mess of, destroy or ruin	망치 실패하	blow	blew
to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)		hook	hooked
catch with a hook	낚다	hook	hooked
a sharp curve or crook; a shape resembling a hook		hook	hooks
a short swinging punch delivered from the side with the elbow bent		hook	hooks
any piece of work that is undertaken or attempted	착수하	undertake	undertaking
the trade of a funeral director	계약하 약정하 체결하 계약에 계약을	undertake	undertaking
alternative names for the body of a human being	인체 인체생리학 인간의_몸 몸매 체격 인체_생리학 사람의_몸 인간_해부학 인간의_신체 육체 육체의 재료_몸 피부_착색	figure	figure
an amount of money expressed numerically	값 금액 상 액수 치 틀	figure	figure
one of the elements that collectively form a system of numeration	수 수치	figure	figures
straighten with a comb		comb	combing
search thoroughly		comb	combing
hit against; come into sudden contact with		strike	struck
cause to experience suddenly		strike	struck
an attack that is intended to seize or inflict damage on or destroy an objective	타격기 공격	strike	strike
a score in tenpins: knocking down all ten with the first ball	스트라이크 대성공 열_파업	strike	strike
reverse the winding or twisting of		unwind	unwind
become less tense, rest, or take one's ease		unwind	unwind
hunt illegally		poach	poached
cook in a simmering liquid		poach	poached
become distinct and acquire a different character		differentiate	differentiate
calculate a derivative; take the derivative		differentiate	differentiate
a United States or Canadian coin worth one fourth of a dollar	미국_쿼터_주화 미국_25_센트_동전 미국_25센트_동전 쿼터_달러 25_센트_동전 25센트_동전 미국_25_센트_주화 미국_25센트_주화 미국_쿼터_달러_동전 미국_쿼터_달러_주화 미국_쿼터_동전	quarter	quarter
clemency or mercy shown to a defeated opponent		quarter	quarter
tell anonymously		leak	leak
enter or escape as through a hole or crack or fissure		leak	leak
a strong paper or thin cardboard with a smooth light brown finish made from e.g. Manila hemp	마닐라_종이 마닐라 마닐라_(manilla)_종이	manila	manila
the capital and largest city of the Philippines; located on southern Luzon	마닐라 manila 필리핀의_수도 마닐라_시	manila	manila
to exert much effort or energy	진력하	strain	strained
separate by passing through a sieve or other straining device to separate out coarser elements	거르다	strain	strained
a set of data arranged in rows and columns	표 대 리스트 시간표 표_배열	table	tables
a piece of furniture with tableware for a meal laid out on it	면	table	tables
a number or letter indicating quality (especially of a student's performance)	성적 크기 평가 마르크	score	score
a written form of a musical composition; parts for different instruments appear on separate staves on large pages	악보 음악_점수	score	score
a large number or amount	점수	score	score
be envious, desirous, eager for, or extremely happy about something		drool	drooling
let saliva drivel from the mouth		drool	drooling
the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions	화학 일반화학 화학과 화학_과학 응용_화학	chemistry	chemistry
the way two individuals relate to each other	대인_화학	chemistry	chemistry
a story about mythical or supernatural beings or events	전설 고사 구비 설화 신화 우화	legend	legend
brief description accompanying an illustration	표제 제목	legend	legend
a fastener used on clothing; fastens with a snapping sound	똑딱단추 똑딱_단추 똑딱이_단추 똑딱이단추 스냅_단추 스냅단추 스터드를_누르십시오 체결을_스냅	snap	snap
separate or cause to separate abruptly	파열하 할애하	snap	snap
utter in an angry, sharp, or abrupt tone		snap	snapped
record on photographic film	가지	snap	snapped
be standing; be upright	서	stand	stands
hold one's ground; maintain a position; be steadfast or upright;	서다 올라서다	stand	stands
a support for displaying various articles		stand	stand
give testimony in a court of law	서	stand	stand
put up with something or somebody unpleasant	견디다 참다 서	stand	stand
be in some specified state or condition		stand	stand
the strength of a solution; number of molecules of a substance in a given volume	농도 용액의_농도	concentration	concentration
complete attention; intense mental effort		concentration	concentration
the property of something that is great in magnitude		volume	volume
the magnitude of sound (usually in a specified direction)	음향_인텐시티 라우드니스 음향인텐시티	volume	volume
the act of delivering or distributing something (as goods or mail)	배달 택배 배달겨레 배달민족 배달족 가져 배달_소년	delivery	delivery
your characteristic style or manner of expressing yourself orally	말하기의_방식	delivery	delivery
an event that occurs when something passes from one state or phase to another		change	change
coins of small denomination regarded collectively		change	change
the balance of money received when the amount you tender is greater than the amount due	거스름돈 잔돈	change	change
