instance numbers	homonym (lemma)	pos	Main sentence	gloss 1	gloss 2	EN synset 1	EN synset 2	Target synset 1	Target synset 2	example sentence 1	example sentence 2	example translation 1	example translation 2	F1	F2	homonym label
60 61 62 63 64 65	suit	n	The suit made him angry.	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	suit suit of clothes power suit business suit lounge suit 2-part suit 2-parts suit 3-piece suit 3 part suit americana business suits dress pants interview suit lounge suits men's suit men's suits mens suit men’s suit office suit skirt suit suit-and-tie suit & necktie suit and tie suit pants suit skirt suit trousers suitcoat suite suiting suits tailored suit three-part suit three parts suit three piece suit town suit two-part suit two-parts suit two part suit two parts suit western suit women's suit	lawsuit case suit cause causa legal case court case trial case law court action judicial proceeding legal conflict legal dispute legal issue civil actions civil case civil complaint civil court case civil courts civil lawsuit civil suits filed suit judicial proceedings law suit law suits lawsuits legal battle legal battles litigants litigate litigated litigates litigating litigations litigators litigious satellite litigation sued suing suit in law	سوٹ سوٹ	حکم امتناعی دعویٰ مُقَدَّمَہ	He wore a tailored suit to the event.	They filed a suit for damages.	اس نے اس تقریب کے لئے ایک موزوں سوٹ پہنا.	انہوں نے نقصانات کے لئے مقدمہ دائر کیا.	سوٹ	مقدمہ	D
66 67 68 69 70 71	suit	n	The suits became costly.	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	suit suit of clothes power suit business suit lounge suit 2-part suit 2-parts suit 3-piece suit 3 part suit americana business suits dress pants interview suit lounge suits men's suit men's suits mens suit men’s suit office suit skirt suit suit-and-tie suit & necktie suit and tie suit pants suit skirt suit trousers suitcoat suite suiting suits tailored suit three-part suit three parts suit three piece suit town suit two-part suit two-parts suit two part suit two parts suit western suit women's suit	lawsuit case suit cause causa legal case court case trial case law court action judicial proceeding legal conflict legal dispute legal issue civil actions civil case civil complaint civil court case civil courts civil lawsuit civil suits filed suit judicial proceedings law suit law suits lawsuits legal battle legal battles litigants litigate litigated litigates litigating litigations litigators litigious satellite litigation sued suing suit in law	سوٹ سوٹ	حکم امتناعی دعویٰ مُقَدَّمَہ	He wore a tailored suit to the event.	They filed a suit for damages.	اس نے اس تقریب کے لئے ایک موزوں سوٹ پہنا.	انہوں نے نقصانات کے لئے مقدمہ دائر کیا.	سوٹ	مقدمہ	D
72 73 74 75 76 77	suit	n	"The suits were interesting, to say the least."	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	suit suit of clothes power suit business suit lounge suit 2-part suit 2-parts suit 3-piece suit 3 part suit americana business suits dress pants interview suit lounge suits men's suit men's suits mens suit men’s suit office suit skirt suit suit-and-tie suit & necktie suit and tie suit pants suit skirt suit trousers suitcoat suite suiting suits tailored suit three-part suit three parts suit three piece suit town suit two-part suit two-parts suit two part suit two parts suit western suit women's suit	lawsuit case suit cause causa legal case court case trial case law court action judicial proceeding legal conflict legal dispute legal issue civil actions civil case civil complaint civil court case civil courts civil lawsuit civil suits filed suit judicial proceedings law suit law suits lawsuits legal battle legal battles litigants litigate litigated litigates litigating litigations litigators litigious satellite litigation sued suing suit in law	سوٹ سوٹ	حکم امتناعی دعویٰ مُقَدَّمَہ	He wore a tailored suit to the event.	They filed a suit for damages.	اس نے اس تقریب کے لئے ایک موزوں سوٹ پہنا.	انہوں نے نقصانات کے لئے مقدمہ دائر کیا.	سوٹ	مقدمہ	D
78 79 80 81 82 83	star	n	He looked forward to seeing the stars.	(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior	an actor who plays a principal role	star stars celestial star celestial stars the stars 恒星 intermediate-mass star intermediate mass star intermediate mass stars intermediate star massive star star fission stellar diameter stellar radius stellum	star lead principal	ستارہ stellar ستاروي ستاروں ستاروی ستارے نجمي نجمی		The star shone brightly in the sky.	The star delivered an outstanding performance.	ستارہ آسمان میں چمک رہا تھا۔	سٹار نے شاندار کارکردگی کا مظاہرہ کیا۔	ستارہ	*سٹار	N
84 85 86 87 88 89	star	n	It was clear which one was the outstanding star.	(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior	an actor who plays a principal role	star stars celestial star celestial stars the stars 恒星 intermediate-mass star intermediate mass star intermediate mass stars intermediate star massive star star fission stellar diameter stellar radius stellum	star lead principal	ستارہ stellar ستاروي ستاروں ستاروی ستارے نجمي نجمی		The star shone brightly in the sky.	The star delivered an outstanding performance.	ستارہ آسمان میں چمک رہا تھا۔	سٹار نے شاندار کارکردگی کا مظاہرہ کیا۔	ستارہ	*سٹار	N
90 91 92 93 94 95	reservation	n	The couple went to their reservation.	a district that is reserved for particular purpose	the act of reserving (a place or passage) or engaging the services of (a person or group)	reserve reservation	booking reservation			The tribe established a new reservation.	I made a reservation for dinner.	قبیلے نے ایک نیا علاقہ قائم کیا۔	میں نے رات کے کھانے کے لیے بکنگ کروائی۔	*علاقہ	بکنگ	D
96 97 98 99 100 101	reservation	n	"She agreed to join them for the dinner, but only after making a reservation."	the act of reserving (a place or passage) or engaging the services of (a person or group)	a statement that limits or restricts some claim	booking reservation	reservation qualification			I made a reservation for dinner.	I support her proposal with no reservations.	میں نے رات کے کھانے کے لیے بکنگ کروائی۔	میں اس کی تجویز کی بغیر کسی تحفظات کے حمایت کرتا ہوں۔	بکنگ	تحفظات	D
102 103 104 105 106 107	reservation	n	They both had reservations about staying at the hotel.	an unstated doubt that prevents you from accepting something wholeheartedly	the act of reserving (a place or passage) or engaging the services of (a person or group)	mental reservation reservation arriere pensee	booking reservation			She accepted the offer with some reservation.	I made a reservation for dinner.	اس نے کچھ تحفظات کے ساتھ پیشکش قبول کی۔	میں نے رات کے کھانے کے لیے بکنگ کروائی۔	تحفظات	بکنگ	D
108 109 110 111 112 113	reservation	n	The guy on the bus told him about his reservations.	an unstated doubt that prevents you from accepting something wholeheartedly	the act of reserving (a place or passage) or engaging the services of (a person or group)	mental reservation reservation arriere pensee	booking reservation			She accepted the offer with some reservation.	I made a reservation for dinner.	اس نے کچھ تحفظات کے ساتھ پیشکش قبول کی۔	میں نے رات کے کھانے کے لیے بکنگ کروائی۔	تحفظات	بکنگ	D
114 115 116 117 118 119	reservation	n	They had reservations but still continued despite the situation.	an unstated doubt that prevents you from accepting something wholeheartedly	the act of reserving (a place or passage) or engaging the services of (a person or group)	mental reservation reservation arriere pensee	booking reservation			She accepted the offer with some reservation.	I made a reservation for dinner.	اس نے کچھ تحفظات کے ساتھ پیشکش قبول کی۔	میں نے رات کے کھانے کے لیے بکنگ کروائی۔	تحفظات	بکنگ	D
120 121 122 123 124 125	downhill	r	"The market has been downhill lately, and this is really affecting John."	toward a lower or inferior state	toward the bottom of a hill	downhill	downhill			His health has been going downhill lately.	The bike raced downhill with speed.	ان کی صحت حالیہ دنوں میں خراب ہو رہی ہے۔	موٹر سائیکل تیزی سے ڈھلان پر نیچے گئی۔	خراب	*ڈھلان	D
126 127 128 129 130 131	downhill	r	Things were going downhill.	toward the bottom of a hill	toward a lower or inferior state	downhill	downhill			The bike raced downhill with speed.	His health has been going downhill lately.	موٹر سائیکل تیزی سے ڈھلان پر نیچے گئی۔	ان کی صحت حالیہ دنوں میں خراب ہو رہی ہے۔	*ڈھلان	خراب	D
132 133 134 135 136 137	downhill	r	He started going downhill after leaving home.	toward a lower or inferior state	toward the bottom of a hill	downhill	downhill			His health has been going downhill lately.	The bike raced downhill with speed.	ان کی صحت حالیہ دنوں میں خراب ہو رہی ہے۔	موٹر سائیکل تیزی سے ڈھلان پر نیچے گئی۔	خراب	*ڈھلان	D
138 139 140 141 142 143	downhill	r	They didn't realize how fast it would all go downhill.	toward a lower or inferior state	toward the bottom of a hill	downhill	downhill			His health has been going downhill lately.	The bike raced downhill with speed.	ان کی صحت حالیہ دنوں میں خراب ہو رہی ہے۔	موٹر سائیکل تیزی سے ڈھلان پر نیچے گئی۔	خراب	*ڈھلان	D
144 145 146 147 148 149	downhill	r	The restaurant has gone downhill since moving sites.	toward a lower or inferior state	toward the bottom of a hill	downhill	downhill			His health has been going downhill lately.	The bike raced downhill with speed.	ان کی صحت حالیہ دنوں میں خراب ہو رہی ہے۔	موٹر سائیکل تیزی سے ڈھلان پر نیچے گئی۔	خراب	*ڈھلان	D
150 151 152 153 154 155	fallout	n	The fallout was an impressive sight to behold.	the radioactive particles that settle to the ground after a nuclear explosion	any adverse and unwanted secondary effect	fallout radioactive fallout radioactive dust nuclear fallout fall out nuclear dust nuclear fallouts nuclear snow radioactive cloud radiological fallout the seven ten rule	side effect fallout			The fallout from the explosion contaminated nearby soil.	The scandal had significant financial fallout.	دھماکے کی تابکاری نے قریبی مٹی کو آلودہ کر دیا۔	اس رسوائی کے مالی اثرات بہت زیادہ تھے۔	*تابکاری	اثرات	D
156 157 158 159 160 161	fallout	n	There was a lot of fallout from the whole situation.	the radioactive particles that settle to the ground after a nuclear explosion	any adverse and unwanted secondary effect	fallout radioactive fallout radioactive dust nuclear fallout fall out nuclear dust nuclear fallouts nuclear snow radioactive cloud radiological fallout the seven ten rule	side effect fallout			The fallout from the explosion contaminated nearby soil.	The scandal had significant financial fallout.	دھماکے کی تابکاری نے قریبی مٹی کو آلودہ کر دیا۔	اس رسوائی کے مالی اثرات بہت زیادہ تھے۔	*تابکاری	اثرات	D
162 163 164 165 166 167	underground	a	The underground system is one of the best.	under the level of the ground	conducted with or marked by hidden aims or methods					The underground pipes need maintenance soon.	They organized an underground movement for reform.	زیر زمین پائپوں کو جلد ہی دیکھ بھال کی ضرورت ہے.	انہوں نے اصلاحات کے لیے ایک خفیہ تحریک تشکیل دی۔	زیر زمین	خفیہ	D
168 169 170 171 172 173	underground	a	There was a suggestion that they should move underground for the next stage of the process.	under the level of the ground	conducted with or marked by hidden aims or methods					The underground pipes need maintenance soon.	They organized an underground movement for reform.	زیر زمین پائپوں کو جلد ہی دیکھ بھال کی ضرورت ہے.	انہوں نے اصلاحات کے لیے ایک خفیہ تحریک تشکیل دی۔	زیر زمین	خفیہ	D
174 175 176 177 178 179	hop	n	Ana had lots of hops.	twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer	the act of hopping; jumping upward or forward (especially on one foot)	hops hop dry hopping hop strobile lupuli flos alpha acid unit beer hops dry-hopping hallertau mittelfrueh hallertau mittelfruh hallertau mittelfrüh hallertauer mittelfrueh hallertauer mittelfruh hallertauer mittelfrüh high-alpha hops hop-picking hopped hops oil lupulin noble hop noble hops	hop			The brewer selected fresh hops for flavor.	The frog made a quick hop.	بریور نے ذائقہ کے لئے تازہ ہاپ کا انتخاب کیا.	مینڈک نے جلدی سے چھلانگ لگا دی۔	ہاپ	چھلانگ	D
180 181 182 183 184 185	flop	v	"After all the preparations, the dancer made an entrance, only to flop on stage."	fall loosely	fail utterly; collapse	flop	fall through fall flat founder flop			She flopped onto the soft couch.	The presentation was a complete flop.	وہ نرم صوفے پر گر گئی۔	اس کی پیشکش مکمل طور پر ناکام رہی.	*گر	ناکام	D
186 187 188 189 190 191	flop	v	"Despite all his practice, his dive at the competition was a flop."	fall loosely	fail utterly; collapse	flop	fall through fall flat founder flop			She flopped onto the soft couch.	The presentation was a complete flop.	وہ نرم صوفے پر گر گئی۔	اس کی پیشکش مکمل طور پر ناکام رہی.	*گر	ناکام	D
192 193 194 195 196 197	fledgling	n	The fledgling has just arrived.	any new participant in some activity	young bird that has just fledged or become capable of flying	newbie newcomer fledgling neophyte entrant fledgeling starter freshman n00b newb noob noobie n00bie nub a noob chobo clueless newbie dumbnub floob inexperienced user n00bcake n00bish n00blet n00bs n00bz0r n0b n0ob nabbo narb newb' newbies newbs no0b noobdom noobelf noobish nooblet nooblie noobo noobs noobstain noobtard nubcake nubcakes nubkins nublet nubumb nubzors st00b what a noob	fledgling fledgeling			The fledgling entrepreneur gained valuable experience.	The fledgling took its first flight.	اس نوآموز کاروباری نے قیمتی تجربہ حاصل کیا۔	ننھے پرندے نے اپنی پہلی اڑان بھری۔	*نوآموز	*ننھے پرندے	D
198 199 200 201 202 203	fledgling	n	"The fledgling wobbled uncertainly on the edge, eyeing the vast world ahead."	any new participant in some activity	young bird that has just fledged or become capable of flying	newbie newcomer fledgling neophyte entrant fledgeling starter freshman n00b newb noob noobie n00bie nub a noob chobo clueless newbie dumbnub floob inexperienced user n00bcake n00bish n00blet n00bs n00bz0r n0b n0ob nabbo narb newb' newbies newbs no0b noobdom noobelf noobish nooblet nooblie noobo noobs noobstain noobtard nubcake nubcakes nubkins nublet nubumb nubzors st00b what a noob	fledgling fledgeling			The fledgling entrepreneur gained valuable experience.	The fledgling took its first flight.	اس نوآموز کاروباری نے قیمتی تجربہ حاصل کیا۔	ننھے پرندے نے اپنی پہلی اڑان بھری۔	*نوآموز	*ننھے پرندے	D
204 205 206 207 208 209	draw	v	Drawing water can be quite difficult.	make a mark or lines on a surface	take liquid out of a container or well;	draw trace line describe delineate	draw take out	کھینچنا		Please draw a circle on the paper.	She will draw water from the well.	براہ کرم کاغذ پر ایک دائرہ بنائیں۔	وہ کنویں سے پانی نکالے گی۔	بنائیں	نکالے	D
210 211 212 213 214 215	draw	v	Sheila was about to draw on the cigarette.	"represent by making a drawing of, as with a pencil, chalk, etc. on a surface"	suck in or take (air)	draw	puff drag draw			She will draw a beautiful landscape.	She took a moment to draw breath.	وہ ایک خوبصورت منظر کی تصویر بنائے گی۔	اس نے سانس لینے کے لئے ایک لمحہ لیا.	*بنائے	 لیا	D
216 217 218 219 220 221	draw	v	Mark believed he could draw it very quickly.	"bring, take, or pull out of a container or from under a cover"	"represent by making a drawing of, as with a pencil, chalk, etc. on a surface"	draw pull pull out get out take out	draw			He will draw a knife swiftly.	She will draw a beautiful landscape.	وہ جلدی سے چاقو نکالے گا۔	وہ ایک خوبصورت منظر کی تصویر بنائے گی۔	نکالے	*بنائے	D
222 223 224 225 226 227	draw	v	Adam enjoyed drawing a crowd.	"represent by making a drawing of, as with a pencil, chalk, etc. on a surface"	direct toward itself or oneself by means of some psychological power or physical attributes	draw	attract pull draw draw in pull in			She will draw a beautiful landscape.	Her charisma can draw a crowd.	وہ ایک خوبصورت منظر کی تصویر بنائے گی۔	اس کا کرشمہ بھیڑ کو اپنی طرف متوجہ کرسکتا ہے۔	*بنائے	متوجہ	D
228 229 230 231 232 233	draw	v	"This time, he wasn't easily drawn."	make a mark or lines on a surface	bring or lead someone to a certain action or condition	draw trace line describe delineate	draw	کھینچنا		Please draw a circle on the paper.	He felt drawn to the adventure.	براہ کرم کاغذ پر ایک دائرہ بنائیں۔	وہ مہم جوئی کی طرف متوجہ ہوا.	بنائیں	متوجہ	D
234 235 236 237 238 239	branch	n	The big branch was very close to where they were staying.	"a division of a stem, or secondary stem arising from the main stem of a plant"	a division of some larger or more complex organization	branch tree branch branchlet branches surculus	branch subdivision arm bank branch banking center banking centre bank merchandising firms financial center financial centre bank branch merchandising bank merchandising branch banking branch merchandising	ٹہنی شاخ ڈال		The tree's branch swayed gently in the wind.	The committee is part of a larger branch.	درخت کی شاخ ہوا میں آہستہ سے لہرا رہی تھی۔	کمیٹی ایک بڑی شاخ کا حصہ ہے.	شاخ	شاخ	N
240 241 242 243 244 245	fiddle	v	They both decided to fiddle together.	avoid (one's assigned duties)	play the violin or fiddle	fiddle shirk shrink from goldbrick	fiddle			He decided to fiddle with his responsibilities.	She loves to fiddle at night.	اس نے اپنی ذمہ داریوں میں ٹال مٹول کرنے کا فیصلہ کیا۔	وہ رات کو وائلن بجانا پسند کرتی ہے۔	* ٹال مٹول	 *وائلن بجانا	D
246 247 248 249 250 251	fiddle	v	Can they stop fiddling? It's really irritating and annoying.	avoid (one's assigned duties)	play the violin or fiddle	fiddle shirk shrink from goldbrick	fiddle			He decided to fiddle with his responsibilities.	She loves to fiddle at night.	اس نے اپنی ذمہ داریوں میں ٹال مٹول کرنے کا فیصلہ کیا۔	وہ رات کو وائلن بجانا پسند کرتی ہے۔	* ٹال مٹول	 *وائلن بجانا	D
252 253 254 255 256 257	fiddle	v	The team was not impressed with Tom's fiddling.	avoid (one's assigned duties)	play the violin or fiddle	fiddle shirk shrink from goldbrick	fiddle			He decided to fiddle with his responsibilities.	She loves to fiddle at night.	اس نے اپنی ذمہ داریوں میں ٹال مٹول کرنے کا فیصلہ کیا۔	وہ رات کو وائلن بجانا پسند کرتی ہے۔	* ٹال مٹول	 *وائلن بجانا	D
258 259 260 261 262 263	try	v	This will be his third try.	make an effort or attempt	put on trial or hear a case and sit as the judge at the trial of	try attempt seek essay assay endeavour	judge adjudicate try			She will try to finish on time.	The judge will try the case tomorrow.	وہ وقت پر ختم کرنے کی کوشش کرے گی۔	جج کل کیس کی سماعت کرے گا۔	کوشش	سماعت	D
264 265 266 267 268 269	dock	v	Sean was docked pay as soon as he arrived late yesterday.	"deprive someone of benefits, as a penalty"	come into dock	dock	dock			They decided to dock his pay unfairly.	The ship will dock at noon.	انہوں نے فیصلہ کیا کہ اس کی تنخواہ غیر منصفانہ طور پر کاٹ لی جائے۔	جہاز دوپہر کو لنگر انداز ہو گا۔	*کاٹ	*لنگر انداز	D
270 271 272 273 274 275	tip	v	"After the meal, he accidentally tipped the table on his way out."	cause to topple or tumble by pushing	"give a tip or gratuity to in return for a service, beyond the compensation agreed on"	topple tumble tip	tip fee bung			She gave the vase a gentle tip.	Please remember to tip your server.	اس نے گلدان کو ہلکا سا دھکا دیا۔	براہ کرم اپنے ویٹر کو ٹپ دینا یاد رکھیں۔	*دھکا	ٹپ	D
276 277 278 279 280 281	tip	n	Those are some small tips over there.	the extreme end of something; especially something pointed	a relatively small amount of money given for services rendered (as by a waiter)	tip	tip gratuity pourboire baksheesh bakshish backsheesh bakshis cumshaw tiền bo backshish baksheesh system bakshish system bakshshish-system bucksheesh gratuities table money tipping by region tipping in australia tipping in canada tipping in new zealand tipping in the uk to insure prompt service trinkgeld tronc		بخشیش	The tip of the spear glimmered.	I left a generous tip for dinner.	نیزے کی نوک چمک رہی تھی۔	میں نے رات کے کھانے پر ایک اچھی ٹپ چھوڑی۔	*نوک	ٹپ	D
282 283 284 285 286 287	tip	n	There were some decent tips to be taken advantage of.	a relatively small amount of money given for services rendered (as by a waiter)	an indication of potential opportunity	tip gratuity pourboire baksheesh bakshish backsheesh bakshis cumshaw tiền bo backshish baksheesh system bakshish system bakshshish-system bucksheesh gratuities table money tipping by region tipping in australia tipping in canada tipping in new zealand tipping in the uk to insure prompt service trinkgeld tronc	lead hint tip steer confidential information wind	بخشیش		I left a generous tip for dinner.	He received a tip about the stock.	میں نے رات کے کھانے پر ایک اچھی ٹپ چھوڑی۔	اسے اسٹاک کے بارے میں خفیہ اطلاع ملی۔ 	ٹپ	*خفیہ اطلاع	D
288 289 290 291 292 293	tip	n	"After the meal, he shared some valued tips with the waiter."	a relatively small amount of money given for services rendered (as by a waiter)	an indication of potential opportunity	tip gratuity pourboire baksheesh bakshish backsheesh bakshis cumshaw tiền bo backshish baksheesh system bakshish system bakshshish-system bucksheesh gratuities table money tipping by region tipping in australia tipping in canada tipping in new zealand tipping in the uk to insure prompt service trinkgeld tronc	lead hint tip steer confidential information wind	بخشیش		I left a generous tip for dinner.	He received a tip about the stock.	میں نے رات کے کھانے پر ایک اچھی ٹپ چھوڑی۔	اسے اسٹاک کے بارے میں خفیہ اطلاع ملی۔ 	ٹپ	*خفیہ اطلاع	D
294 295 296 297 298 299	tip	n	Anna was thrilled when she received a really good tip from Adam.	a relatively small amount of money given for services rendered (as by a waiter)	an indication of potential opportunity	tip gratuity pourboire baksheesh bakshish backsheesh bakshis cumshaw tiền bo backshish baksheesh system bakshish system bakshshish-system bucksheesh gratuities table money tipping by region tipping in australia tipping in canada tipping in new zealand tipping in the uk to insure prompt service trinkgeld tronc	lead hint tip steer confidential information wind	بخشیش		I left a generous tip for dinner.	He received a tip about the stock.	میں نے رات کے کھانے پر ایک اچھی ٹپ چھوڑی۔	اسے اسٹاک کے بارے میں خفیہ اطلاع ملی۔ 	ٹپ	*خفیہ اطلاع	D
300 301 302 303 304 305	comfortable	a	David did not feel comfortable in his new house.	providing or experiencing physical well-being or relief ('comfy' is informal)	free from stress or conducive to mental ease; having or affording peace of mind	comfortable comfy agreeable expedient	comfortable	آرام دہ سکون دہ		She wore comfortable shoes for walking.	She felt comfortable in her new role.	اس نے چلنے کے لیے آرام دہ جوتے پہنے۔	وہ اپنے نئے کردار میں پر سکون محسوس کرتی تھی۔	آرام دہ	 *پر سکون	D
306 307 308 309 310 311	blaze	n	The blaze could only worsen.	a strong flame that burns brightly	a cause of difficulty and suffering	blazing blaze	hell blaze			The blaze illuminated the dark night.	The blaze of war devastated the region.	آگ نے اندھیری رات کو روشن کیا.	جنگ کی آگ نے خطے کو تباہ کر دیا۔	آگ	آگ	N
312 313 314 315 316 317	snort	v	Mary snorted during the last class period.	make a snorting sound by exhaling hard	inhale recreational drugs	snort	huff snort			He snorted in disbelief at the news.	He was caught snorting powder in the bathroom.	اس نے خبر سن کر بے یقینی سے پھنکارا۔	وہ باتھ روم میں پاؤڈر سونگھتے ہوئے پکڑا گیا۔	*پھنکارا	*سونگھتے	D
